stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:Quay:836,,Ål stasjon,,60.626442,8.561927,,,0,NSR:StopPlace:508,2,,9,100
NSR:Quay:100203,,Kristinehamn Resecentrum,,59.316174,14.108143,,,0,NSR:StopPlace:58188,2,,G,700
NSR:Quay:100206,,Hallsberg resecentrum,,59.06635,15.109844,,,0,NSR:StopPlace:188,2,,D,700
NSR:Quay:100205,,Hallsberg resecentrum,,59.06638,15.110002,,,0,NSR:StopPlace:188,2,,C,700
NSR:Quay:839,,Bodø,,67.28626,14.390529,,,0,NSR:StopPlace:510,2,,,700
NSR:Quay:100211,,Trondheim lufthavn,,63.45411,10.915934,,,0,NSR:StopPlace:44286,2,,A3,700
NSR:Quay:100210,,Trondheim lufthavn,,63.45411,10.915759,,,0,NSR:StopPlace:44286,2,,A2,700
NSR:Quay:100213,,Trondheim lufthavn,,63.454105,10.916795,,,0,NSR:StopPlace:44286,2,,A6,700
NSR:Quay:1844,,Spydeberg stasjon,,59.62106,11.080686,,,0,NSR:StopPlace:1132,2,,,700
NSR:Quay:100212,,Trondheim lufthavn,,63.454105,10.916508,,,0,NSR:StopPlace:44286,2,,A5,700
NSR:Quay:23092,,Ringebu skysstasjon,,61.52943,10.138754,,,0,NSR:StopPlace:13425,2,,,700
NSR:Quay:850,,Bolstadøyri stasjon,,60.637848,5.957782,,,0,NSR:StopPlace:518,2,,2,100
NSR:Quay:1845,,Spydeberg stasjon,,59.62054,11.080342,,,0,NSR:StopPlace:1132,2,,,700
NSR:Quay:851,,Kongsberg stasjon,,59.672085,9.650923,,,0,NSR:StopPlace:519,2,,1,100
NSR:Quay:610,,Vaksdal stasjon,,60.478703,5.735223,,,0,NSR:StopPlace:364,2,,1,100
NSR:Quay:852,,Kongsberg stasjon,,59.672195,9.651138,,,0,NSR:StopPlace:519,2,,3,100
NSR:Quay:16569,,Skarnes stasjon,,60.254105,11.681054,,,0,NSR:StopPlace:9673,2,,,700
NSR:Quay:600,,Grorud stasjon,,59.949802,10.88755,,,0,NSR:StopPlace:359,2,,2,100
NSR:Quay:842,,Bodung stasjon,,60.085114,11.419889,,,0,NSR:StopPlace:512,2,,1,100
NSR:Quay:100219,,Moelv stasjon,,60.9302,10.698667,,,0,NSR:StopPlace:9835,2,,,700
